from,to,type
"Letter to A. V. Zatayevich, 1897",fatigued,
"Letter to A. K. Glazunov, 1897",grateful,
"Letter to S. V. Smolensky, 1897",affectionate,
"Letter to A. V. Zatayevich, 1897",melancholy,
"Letter to S. I. Taneyev, 1897",neutral,
"Letter to M. A. Slonov, 1897",fatigued,
"Letter to A. V. Zatayevich, 1897",affectionate,
"Letter to N. D. Skalon, 1897",grateful,
"Letter to A. V. Zatayevich, 1897",grateful,
"Letter to M. Yu. Kreutzer, 1897",grateful,
"Letter to S. V. Smolensky, 1897",grateful,
"Letter to E. Yu. Kreutzer, 1897",apologetic,
"Letter to A. V. Zatayevich, 1897",fatigued,
"Letter to A. V. Zatayevich, 1897",apologetic,
"Letter to M. A. Slonov, 1897",affectionate,
"Letter to N. D. Skalon, 1897",apologetic,
"Letter to N. D. Skalon, 1897",fatigued,
"Letter to A. V. Zatayevich, 1897",melancholy,
"Letter to S. I. Taneyev, 1897",affectionate,
"Letter to L. D. Skalon, 1897",melancholy,
"Letter to N. D. Skalon, 1897",apologetic,
"Letter to M. A. Slonov, 1897",melancholy,
"Letter to A. B. Goldenweiser, 1897",fatigued,
"Letter to S. I. Taneev, 1898",melancholy,
"Letter to A. V. Zatayevich, 1898",grateful,
"Letter to A. B. Goldenweiser, 1898",grateful,
"Letter to M. I. Tchaikovsky, 1898",happy,
"Letter to M. I. Tchaikovsky, 1898",grateful,
"Letter to A. B. Goldenweiser, 1898",apologetic,
"Letter to S. V. Smolensky, 1898",grateful,
"Letter to M. I. Tchaikovsky, 1898",grateful,
"Letter to A. P. Chekhov, 1898",affectionate,
"Letter to A. K. Glazunov, 1898",grateful,
"Letter to S. V. Smolensky, 1898",apologetic,
"Letter to A. V. Zatayevich, 1898",fatigued,
"Letter to N. D. Skalon, 1898",grateful,
"Letter to V. I. Rebikov, 1898",grateful,
"Letter to M. I. Tchaikovsky, 1899",fatigued,
"Letter to A. V. Zataevich, 1899",grateful,
"Letter to L. D. Skalon, 1899",fatigued,
"Letter to L. D. Skalon, 1899",apologetic,
"Letter to A. S. Arensky, 1899",apologetic,
"Letter to N. D. Skalon, 1899",apologetic,
"Letter to N. D. Skalon, 1899",apologetic,
"Letter to M. A. Slonov, 1899",happy,
"Letter to N. D. Skalon, 1899",grateful,
"Letter to Yu. D. Engel, 1899",fatigued,
"Letter to A. A. Sanin, 1900",melancholy,
"Letter to A. B. Goldenweiser, 1900",fatigued,
"Letter to A. B. Goldenweiser, 1900",affectionate,
"Letter to A. A. Liventsova, 1900",apologetic,
"Letter to Chancellary of the Moscow Conservatory, 1900",fatigued,
"Letter to S. V. Smolensky, 1900",apologetic,
"Letter to N. D. Skalon, 1900",apologetic,
"Letter to M. A. Slonov, 1900",apologetic,
"Letter to N. S. Morozov, 1900",apologetic,
"Letter to M. I. Tchaikovsky, 1900",fatigued,
"Letter to N. S. Morozov, 1900",apologetic,
"Letter to M. I. Tchaikovsky, 1900",grateful,
"Letter to N. D. Skalon, 1900",apologetic,
"Letter to E. Yu. Kreutzer, 1900",apologetic,
"Letter to N. S. Morozov, 1900",fatigued,
"Letter to N. D. Skalon, 1900",happy,
"Letter to E. Yu. Kreutzer, 1900",grateful,
"Letter to S. M. Remezov, 1900",fatigued,
"Letter to L. D. Skalon, 1900",happy,
"Letter to V. S. Kalinnikov, 1900",affectionate,
"Letter to A. A. Liventsova, 1900",melancholy,
"Letter to E. Yu. Kreutzer, 1900",melancholy,
"Letter to N. R. Kochetov, 1900",happy,
"Letter to A. A. Liventsova, 1901",affectionate,
"Letter to A. B. Goldenweiser, 1901",fatigued,
"Letter to A. B. Goldenweiser, 1901",fatigued,
"Letter to V. I. Safonov, 1901",affectionate,
"Letter to V. I. Safonov, 1901",melancholy,
"Letter to V. I. Safonov, 1901",affectionate,
"Letter to A. B. Goldenweiser, 1901",fatigued,
"Letter to N. D. Scallon, 1901",fatigued,
"Letter to E. Yu. Kreutzer, 1901",grateful,
"Letter to E. Yu. Kreutzer, 1901",grateful,
"Letter to K. S. Alekseev (Stanislavsky), 1901",fatigued,
"Letter to E. Yu. Kreutzer, 1901",grateful,
"Letter to P. N. Rencicko, 1901",grateful,
"Letter to I. A. Buninu, 1901",happy,
"Letter to N. S. Morozov, 1901",fatigued,
"Letter to I. A. Buninu, 1901",grateful,
"Letter to S. I. Taneevu, 1901",affectionate,
"Letter to S. I. Taneevu, 1901",affectionate,
"Letter to S. I. Taneevu, 1901",neutral,