label,description,type
"Letter to A. V. Zatayevich, 1897","Congratulations to you, my dear friend Alexander Viktorovich, on the New Year, in which I wish you, firstly, happiness - and secondly, to compose and compose more.
  
  I am very surprised that I have not received letters from you yet. I sent my last letter to you on December 13th. It was sent by registered mail, and therefore could not have disappeared. I informed you in it that Jurgenson had agreed to print three of your works and that you should therefore send them to me as soon as possible. I gave some information about myself for the magazine. Could it be that my servant did not send this letter? To tell the truth, I did not ask for a receipt... I am sending you my portrait for the magazine. I will send it to you personally in about ten days.
  
  Yours sincerely, S. Rachmaninov",Letter
"Letter to A. K. Glazunov, 1897","Dear Alexander Konstantinovich!
  
  Please forgive me for disturbing you, but I really want to know when my Symphony is scheduled for performance. I was confused by one acquaintance who just arrived from St. Petersburg, who told me that it was supposedly scheduled for January 18th. Although I hardly believe this, I would still like to hear confirmation from you.
  
  If it is not too much trouble, please also let me know who will conduct and whether you are rewriting it into parts, or if it is better for me to do it here.
  
  Then I would like to thank you very much for scheduling my Symphony in your program.
  
  I await your reply.
  
  Yours sincerely, S. Rachmaninov
  
  My address: Moscow, Arbat, Serebryany Pereulok, Pogozheva's house, apartment No. 4.",Letter
"Letter to S. V. Smolensky, 1897","Dear Stepan Vasilyevich!
  
  Taking advantage of your kind permission, I offered my friends two cards for the right to enter your evening on January 31st.
  
  Yours faithfully, S. Rachmaninov",Letter
"Letter to A. V. Zatayevich, 1897","Dear friend Alexander Viktorovich!
  
  I have been unwell all of late. The reason for my ill health was my ""distracted"" way of life, in general a life that is now absolutely forbidden to me and which I myself no longer hope to live.
  
  In the last month or so I have completely fallen apart and only now am I thinking that it is time to start studying and also to answer those letters that have been demanding it for a long time.
  
  Yesterday I received your letter and your things. I sent you one of them back, together with my piano things. It is no good, because it is not a piano at all. Besides, its name is ""choir"". Anyone can quite reasonably ask: why hasn't this been done for a choir? After all, a piano cannot replace it. I find the same thing, adding to this that this thing will sound much better in a choir and this music will be more appropriate (more characteristic) with the words. It just seems to me (and I could be wrong, of course) that the words you chose are not suitable for the music, and here's why. They make you pause every line, and you emphasize it yourself, i.e., you make the accompaniment sit in one place, when it could move beautifully on sustained notes in the voices. Throughout the first page, I liked the constant pauses, but when they began to repeat on the next page, it seemed unnatural to me. Still, this thing is original, and that's what I like most about your things. I'm keeping the second thing. To tell the truth, I like it less than the choir. But what I don't like at all is that you write little. These two things, as you say, you pulled out of the old trash. What new things are you writing? If nothing, then it makes me very sad. If this is not something for the piano, then why don't you send it to me, but feed me only with promises? You can't study like that, my dear friend. You need to work as much as you have free time. You have talent, but you don't seem to want to know about it.
  
  Send me two more piano pieces by all means. I can perhaps arrange for Jurgenson to print all four. Of course, you need this - there's no need to talk about that - but you're still being frugal with sending them. Send them quickly, otherwise when will all this come out?
  
  Forgive me for the lecture.
  
  Yours sincerely, S. Rachmaninov
  
  © https://senar.ru/letters/105",Letter
"Letter to S. I. Taneyev, 1897","I couldn't come to you, Sergei Ivanovich, because I was doing my business and finished it only at one o'clock, when it was already too late to come to you. I'm leaving today by post to Petersburg. I hope to return on Wednesday or Thursday.
  
  Sincerely devoted to you, S. Rachmaninov",Letter
"Letter to M. A. Slonov, 1897","I beg you, dear friend Mikhail Akimovich, to come and sit with Rodnaya without me. Monday would be best. I asked Yuri about this too. He will be, or at least promised to be, also at her place on Monday. Please do this for me.
  
  Yours S. Rachmaninov",Letter
"Letter to A. V. Zatayevich, 1897","In three hours I am leaving for St. Petersburg, my dear friend Alexander Viktorovich. I hasten to inform you that the thing you sent me is not suitable for the first opus of the press, which must be as interesting as possible so that the publisher would agree to print your next works. For now, I consider only the 3rd mazurka suitable for this first opus. Do not be angry with me and be assured that only my sincere affection for you and the belief that you can write something better make me be strict and discerning.
  
  Yours faithfully, S. Rachmaninov
  
  P.S. Wish my Symphony success.",Letter
"Letter to N. D. Skalon, 1897","I arrived here yesterday morning, dear Tatusha, and I am leaving here this evening. I was not expected in the morning, and therefore I was not met. I arrived at my grandmother's at seven o'clock in the morning, she was the only one who had already gotten up. (Volodya and his wife were not up yet.) On the way I had to sleep only three hours - no more, since yesterday I dozed almost all day, but did not go to bed in order to sit with my people. My grandmother is not getting old at all, in my opinion. She is still the same.
  
  I like Volodya very much. From everything I have seen and heard, he is a very good man. I have to talk about him as if I were seeing him for the first time in my life. His wife is very sweet, very nice and not at all stupid. Apparently, they love each other terribly. She only looks at him and becomes cheerful only when he begins to tell something. Then she supports only the conversation that he begins. It is fun for me to look at them. I am very pleased to see this, and I am ready to ask God, that this wonderful relationship would not disappear with time. They have been married for so little time! Everyone is asking me to stay another day - but I will not agree...
  
  Now I want to thank you and your sisters for the money you gave me for the trip. When I went from you to Glazunov and imagined that I would suddenly have to ask him for a loan, I was horrified by this thought alone. However, I still would not have asked him for it in the end, even if I did not have your money in my pocket. My tongue would not have turned...
  
  From there I stopped by Varlikh. He told me that he would probably include Gypsy Capriccio in the program of their concert on St. Thomas's Week. I promised him to come. If he performs it, then I will probably come.
  
  Goodbye. I thank you and your sisters once again for your wonderful attitude, touching attention to me, which I have seen from you. I kiss your six little hands. I bow to everyone.
  
  Yours S. Rachmaninov
  
  P.S. A small detail. I am writing here now, and my grandmother does not allow anyone in the neighboring rooms to talk on this occasion.
  
  © https://senar.ru/letters/109",Letter
"Letter to A. V. Zatayevich, 1897","""I haven't written letters for a long time, my dear friend Alexander Viktorovich. Neither to you nor to anyone else. The main reason for this is my weakness, which makes me lie down all the time. This is my annual spring state. I lie down and occasionally read. I can't compose either. All this lasts until my arrival in the village, where I quickly come to my senses and begin to work, so that now I only dream of leaving... I haven't thanked you yet for the congratulatory telegram on my birthday, which touched me very much with your memory. I also haven't told you about my impressions after the performance of my first Symphony. I will do this now, although it is difficult for me, since I still cannot sort them out myself. The only thing that is true is that I am not at all touched by failure, that I am not at all discouraged by the abuse of the newspapers - but what deeply upsets me and has a hard effect on me is that my Symphony, despite the fact that I loved it very much before, I love it now, after the very first rehearsal, is not at all I liked it... So, bad instrumentation, you will say. But I am sure, I will answer, that good music will ""shine through"" even bad instrumentation, and I do not think that the instrumentation was completely unsuccessful. So, there remain two assumptions. Either I, like some authors, am unfairly partial to this composition, or this composition was poorly performed. And this was indeed the case. I am surprised that such a highly talented person as Glazunov can conduct so badly? I am not even talking about conducting technique (there is nothing to ask him about it), I am talking about his musicality. He feels nothing when he conducts. It is as if he does not understand anything! When Anton Rubinstein was once asked at dinner how he liked the singer N, who sang the part of the Demon, Rubinstein, instead of answering, took a knife and put it perpendicularly in front of the questioner. I can say the same. So, I admit that the performance could have been the reason for the failure. (I am not asserting, but I am admitting.) If this Symphony were familiar to the public, it would blame the conductor (I continue to “admit”), but if the piece is unfamiliar and poorly performed, the public is inclined to blame the composer. This seems to be a probable point of view. Moreover, this Symphony, if not decadent, as they write and understand this word, is indeed a little “new”. This means that it must be played according to the most precise instructions of the author, who, perhaps, would at least reconcile himself with the public a little by this, and the public with the work (i.e., the work would be more understandable for the public in this case). Isn’t that why my friends who went to Petersburg didn’t like it (not the public, but the Symphony), although when I played it for them myself, they said something different. At the moment, as you see, I am inclined to think that the performance is to blame. Tomorrow, I will probably change this opinion too. I will not give up the Symphony after all. In six months, when it is covered, I will look at it, maybe correct it and maybe print it - and maybe the passion will pass then. Then I will tear it up...
  
  Now about you. Are you writing anything? Since I am leaving, the printing of your things will have to be postponed until autumn. In the summer you will prepare more of them. Maybe we will print everything.
  
  I shake your hand firmly.
  
  S. Rachmaninov
  
  P.S. Do not write to me any more to Moscow. Wait for the summer address, which I will inform you in a few days.
  
  Yesterday I wrote you this letter. Today I learned the place and time of my departure and residence. I am leaving on the 13th. My address: Nizhny Novgorod province, Knyagininsky district. Post office Ignatovo. To His Excellency D. A. Skalon with delivery to me.
  
  © https://senar.ru/letters/110""",Letter
"Letter to M. Yu. Kreutzer, 1897","""Forgive me, dear friend Maximilian Yulievich, for the late reply to your sweet letter, which made me laugh a lot.
  
  I want to thank you from the bottom of my heart for the invitation and tell you that I will probably take advantage of it.
  
  Although I have not forgotten some of Prutkov's sayings, I still, despite your warning in the letter, want to try to ""embrace"" you tightly.
  
  Give my sincere greetings to all yours.
  
  Yours, S. Rachmaninov
  
  Remind your sister that by July 1 I expect harmonic problems from her at the following address: Nizhny Novgorod province, Knyagininsky district, post office Krutets, village Ignatovo. To General Skalon with delivery to me.
  
  © https://senar.ru/letters/111""",Letter
"Letter to S. V. Smolensky, 1897","""Forgive me, dear Stepan Vasilyevich, for the late reply to your sweet letter with the text of the liturgy. Believe me, I did it only because of ill health, otherwise I would have thanked you long ago for your kindness and attention to me. It seems that I am not destined to write the liturgy. I feel so bad now that I can only do treatment. In addition, I am tied up with completely unrelated work, i.e., the arrangement of A. Glazunov's Symphony for piano four hands. I must definitely do this work in the summer.
  
  In many ways, I have troubles and misfortunes!
  
  Yours faithfully, S. Rachmaninov
  
  Just in case, I am informing you of the address: Nizhny Novgorod province, Knyagininsky district. Krutets post office. To General Skalon with a transfer.
  
  © https://senar.ru/letters/112""",Letter
"Letter to E. Yu. Kreutzer, 1897","I received your letter with the last post, dear Elena Yulievna. In response to it, I hasten to send you an explanation of the problems that are difficult for you. If this explanation does not satisfy you, then I ask you to notify me, without embarrassment, about this. I will then send you a more detailed explanation. The number of problems you have completed pleases me. Do you play the piano? How do you like your classical repertoire?
  
  Yours faithfully, S. Rachmaninov
  
  I sincerely greet all of yours.
  
  I am very sorry that I cannot visit.
  
  [Note fragment]
  Each number under the bass means some interval. Since you have written:
  6–
  6–5
  , this means that you need to take a sixth chord with a doubled sixth and lead one sixth into a fifth, according to the indication of the numbers (6–5). Thus, you already get a quintessex chord of a dominant chord. Its resolution should be known to you. The same thing is required to take from h to
  4–
  6–
  4–3
  , i.e. a quart-sixth chord with a doubled fourth, one of which is taken to the third (4–3). The result is a third-fourth chord. Resolution according to the rule.
  
  There is an error in the second task. Where there is a misunderstanding for you, one digit is missing. On b you need to take
  4–
  6–
  4–3
  , i.e. again a quart-sixth chord with a doubled fourth. One fourth goes to the third (4–3), while the other two voices (or intervals) — the fourth and the sixth — remain in place. The result is the third-fourth chord already known to you. Resolution according to the rule.
  
  © https://senar.ru/letters/113",Letter
"Letter to A. V. Zatayevich, 1897","What's wrong with you, dear friend Alexander Viktorovich?
  
  I really want to know something about you? Why don't you write to me? Did you receive my letter that I wrote to you before leaving here to the village? Are you studying? I will eagerly await the answer to the questions posed. As for me, I have recovered a little and become stronger - this is the only thing I have achieved during this summer, which is already passing. Write to me, please.
  
  Yours faithfully, S. Rachmaninov
  
  My address: Nizhny Novgorod province, Knyagininsky district, Krutets post office. To General Skalon with delivery to S. V. Rachmaninov.
  
  © https://senar.ru/letters/114",Letter
"Letter to A. V. Zatayevich, 1897","I received both your letters, my dear friend Alexander Viktorovich, and I thank you very much for them. Forgive me for the late reply. The reason is still the same, i.e. unforgivable laziness and indulgences that I allow myself to make lately. And my kidney disease, and therefore - at the beginning of the summer I could neither walk nor sit for long. I only lay down and intensively treated myself. Now I have recovered. The pain has almost left me. Thanks to this illness, no work came to mind and I wrote nothing at all. But I do not regret it, if only I could recover completely. Upon arrival in Moscow, I will certainly begin to study. I have scheduled my departure from here for the tenth of this month. In view of this, I ask you to send me your new things (which I am waiting for with great impatience) to Moscow. If you have forgotten my old address, here it is: Moscow, Arbat, Serebryanny Lane, Pogozheva's house, apartment No. 4.
  
  I will be very glad to look through them and I hope that this parcel of yours will be enough to start printing these things right now. I want this very much, as well as success to you. I shake your hand.
  
  Yours sincerely, S. Rachmaninov
  
  © https://senar.ru/letters/115",Letter
"Letter to M. A. Slonov, 1897","Our departure day has been postponed for one day, dear friend Mikhail Akimovich, and therefore I am waiting for you at Lodyzhenskaya not on the 12th, as I wrote to you, but on the 13th.
  
  I hope to see you if you are free.
  
  Yours, S. Rachmaninov
  
  © https://senar.ru/letters/116",Letter
"Letter to N. D. Skalon, 1897","""Tursik! Your threat to write me long letters often is not a fact, apparently, but only words. And I believed your threat, and, of course, I was glad. Where are these letters, Tatura? If you call, say, two letters a month frequent writing, then I feel sorry for myself. In my naivety, I apparently misunderstood the word ""often"". And there is nothing to threaten with such writing! Let's say the word ""often"" is so elastic! I dare to assure you, I feel so sorry for myself, Tur-tur! I feel so sorry that if you could measure the extent of my pity, then, firstly, you yourself would feel sorry for me, and secondly, either you would not have made this threat, or, having made it once, you would have carried it out in practice. After this, you come out a traitor to your own words, Turka! I did not expect this from you.
  
  You have disturbed my peace with your promise; by not fulfilling it, you will make me ill, because that the doctor has strictly forbidden me to worry and excite my nervous system; thanks to your promise, I run ten times a day to the front door in the hope of finding a letter from you in the box and each time I return upstairs with nez besqué (I am not responsible for the spelling) on ​​the fifth. (The French words ""nez besqué"", note this! means not raised upward, as you think, but crooked, lowered nose.) Don't you really feel sorry for me? After all, I love you so much, Tusik! Insidious Turturchki! Oh, life! However, I must now begin to answer your questions, otherwise you will probably get angry and thereby give my nervous system a reason to suffer even more, my heartlessly cold Turs.
  
  I will jump to the most pitiful prose. I will talk about money. Money and business first of all. (God has made me talk about money even with the Skalons!) I did not send you my debt with my uncle not because I had no money, but because I would have been terribly unpleasant and ashamed to talk to him about it. I left it to the last minute again. Forgive me, for God's sake, for this and advise me how I can send them to you. This worries and excites me very much (remember my nervous system).
  
  Our patients, Sonya and Feosha, are in the following situation. Sonya was at Snegiryov's, who said that she needs an operation, which is not dangerous and thanks to which, according to him, in ten days she will be completely healthy. The operation will be performed, upon the arrival of her uncle, by some doctors recommended by Grauerman. There is nothing to fear for this, since the operation, I repeat, is not dangerous.
  
  Feosha is in a worse situation. Rudnev finds that she has angina pectoris, with which, according to him, one can live for quite a long time under good conditions; otherwise, this thing is very dangerous. About her he told her this: ""If you continue to eat it, then in a year you will not be alive!"", because he finds it a great weakness. Feosha promised me not to do this. I monitor my medication intake...
  
  Now about the misunderstanding with my doctor. I was, in Ostroumov's absence, with his assistant, who examined me in the spring before him. All his words, which I quoted, were said as I wrote to you. The phrase where he advises me to come to him again in a month needs to be corrected a little. He does not advise him, but Ostroumov's doctor. However, in order to calm me down more and with Ostroumov's authoritative name, I was then told about the improvement. Still, I expected and assumed that Iv. Al. could catch me in this. When I finish the drops, then, probably, I will go to Ostroumov, because of Verochka, to whom I promised.
  
  Now the last message. They say, as if there will be a private opera after all, but it will start earlier in another theater, while the old one is undergoing some changes. However, no one comes to me from there. I myself will not come there without an invitation. Amen.
  
  My dearly beloved Turturinochek! I am ready to give a year of my life to kiss your hand now with its crooked, upward-raised fingers, which constitutes (my love is not blind) your physical defect.
  
  Yours, S. Rachmaninov
  
  I will write to dear Verochka next week. Greetings to Lelesha and your parents.
  
  © https://senar.ru/letters/117""",Letter
"Letter to N. D. Skalon, 1897","""A week ago I sent a letter to Verochka, dear Tatusha. No matter how much I waited, I haven't received a single one from you two. Although this is a short period, I'm starting to think that something might have happened to you. I received your last letter to me 9 days ago. This last letter of yours to me (by the way, very sweet) I thought was the fourth. I'm telling you this because you write that you've lost count of your letters to me, and by the way, this loud phrase has no place here, since the number of your letters is limited by the proverb: one, two, three and... that's it.
 
 However, I'm not angry! After all, in general, taking into account the proverb about [inaudible], you are a good young lady, so I don't want to quarrel with you, at least I'm restraining myself. Just write to me anyway. I'm now a very busy man, old, a little sick, very tired from a lot of work, and, finally, missing you. I miss your letters I fully deserve it. Isn't that so? Especially since you write so easily, so quickly; especially since you are so free! Have you really started to ""grow ugly""? This is terrible! Maybe there is some ulterior motive again? Then this is the play: ""Cunning and Love"", and one must be very naive not to understand which of us is the personification of the first. ""Zemfira! Remember, my dear friend! I blindly gave everything for a wish"", etc... Ah! Tata, Tata! However, I will remain silent!
 
 Now one more story about myself and that's enough. On Wednesday I conducted ""Samson and Delilah"" for the second time. It went as mediocrely as the first time. My next opera is ""Rogneda"". The newspapers all praise me. I have little faith! I get along with everyone at the theater. I still swear quite a lot. I am as good with Mamontov as he is with me.
 
 I repeat once again that I am very tired from work, and I also miss the Skalons very much - that means, if they are only compassionate, they will write to me more often. I kiss your hands. Greetings to all of yours.
 
 Yours, S. Rachmaninov
 
 P.S. Auntie is very good and sweet to me now.
 
 © https://senar.ru/letters/118""",Letter
"Letter to A. V. Zatayevich, 1897","I haven't written to you for a very long time, my dear friend Alexander Viktorovich, but, by God, it won't be an exaggeration if I say that on account of my new position, in which I am a newcomer and which I still haven't gotten used to, I am busy 12 hours a day. I was and am so tired that, believe me, I couldn't think of anything else. But I have some business for you. I'll get to it quickly. I am sending you all your compositions that I have received. Of these, two mazurkas and the G major Feuille d'album have been marked by me for publication. Somehow, about a week and a half ago, I snatched an hour of time to correct a few little things, which I managed to do, and also to rework the ends of your mazurkas, which I only managed in one of them and that's not very important. I am talking now about the A minor one. In it, first of all, I left out four bars. Either agree with this or repeat this second theme. in some other, more interesting arrangement. Before the coda, a conclusion in the main key is necessary, which is what I did. If this does not satisfy you (I confess, I was in a hurry), then write something yourself, but be sure to follow the rules given above. As for the conclusion I have attached, I am quite reconciled with it, and if again it does not satisfy you, then again come up with something yourself. Just remember that your previous ending is absolutely no good. It spoils all the previous music. It gives the impression that you wanted to finish quickly, no matter how it turns out. You did not take the trouble to come up with something more interesting. Not even interesting, but simply something more suitable. In the G major Andante, the amendments are insignificant. I will not go into detail! But the whole problem is in the F major mazurka. Everything is good there, except for the conclusion. Yours is no good. Mine, although motivated by the previous one, is also no good. I spent quite a long time on it. sat, but came up with nothing. In the end, I decided that the author of such an original mazurka should also come up with a finale for it himself. It’s easier for him. And maybe mine, which follows from the previous finale, will push you to something more possible. But again, it can’t be left like this. Don’t be angry with me for this and, most importantly, don’t be lazy and sit over it a little longer. Remember that this is actually the first printing of your works, and that your further success with the publisher depends on it. Please, be strict with yourself in this case. Force yourself to redo all of this. After all, you, of course, can and have the strength to redo it. I don’t want critics to scold you for such thoughtless, tacked-on endings. After all, no one will agree to play these things like that, and the things are good.
 
 Now I also want to tell you that the F-major mazurka, as more bravura, is better placed as the last number. So fix all of this quickly and send it back to me quickly. I won't keep you with the seal.
 
 I shake your hand firmly. Devoted to you and wishing you success
 
 S. Rachmaninov
 
 © https://senar.ru/letters/119",Letter
"Letter to S. I. Taneyev, 1897","""Dear Sergei Ivanovich!
 
 In order for the person you sent to be accepted as a cloakroom attendant, he needs to go to the theater with my card today to see Mr. Smelov, whom I have already warned about this. However, no matter how much I asked, they do not agree to take it without a deposit of 30 rubles. Mr. Smelov is at the theater almost the whole day (today at the Hermitage Theater).
 
 Yours faithfully, S. Rachmaninov
 
 © https://senar.ru/letters/120""",Letter
